partNo,comp_1,incomp_1,comp_2,incomp_2,comp_3,incomp_3,comp_4,incomp_4,comp_5,incomp_5,comp_6,incomp_6,comp_7,incomp_7,comp_8,incomp_8
100_large,745.05,728.013,664.653,670.508,656.042,701.355,646.776,680.355,658.52,592.946,613.873,596.145,602.261,659.93,664.6,567.2
101_large,482.77,499.982,453.266,470.86,453.076,463.603,454.668,466.864,448.028,453.997,455.456,432.023,434.114,506.168,412,466
102_large,581.216,551.619,544.469,521.439,519.093,492.384,480.352,490.617,485.26,485.259,507.639,505.669,483.405,480.762,478.6,445.8
103_large,564.966,575.022,547.458,560.102,555.999,531.059,516.993,519.616,529.842,518.637,502.749,490.571,480.222,524.939,463.2,519
105_large,555.216,568.153,528.504,527.674,484.704,544.952,500.314,492.428,478.061,476.401,434.258,461.583,459.594,527.497,416,442.4
112_large,723.984,650.6,640.868,622.191,662.59,614.131,599.982,607.871,631.022,603.644,572.611,560.598,529.44,614.264,633.8,663.6
115_large,518.253,520.146,506.944,503.468,502.46,473.175,459.358,449.253,461.762,461.016,425.961,449.504,412.3,438.4,441.6,426.8
118_large,562.895,535.573,525.671,512.681,521.6,498.341,496.393,504.905,500.876,493.828,476.367,482.259,472.348,466.534,467.8,436
12_large,503.615,461.349,457.1,448.182,462.168,434.842,427.066,430.004,431.169,414.563,422.106,409.226,416.107,419.846,381.6,389
13_large,604.697,639.482,496.024,560.105,570.414,524.062,503.583,501.664,491.054,505.65,532.971,503.326,485.289,459.662,433.6,440.8
15_large,620.379,626.335,617.106,617.774,565.649,592.901,555.248,549.931,549.374,551.942,563.118,542.069,543.433,539.611,514.2,563
16_large,632.041,601.613,580.606,583.971,561.82,556.04,549.175,569.923,561.113,539.353,524.619,562.6,529.557,590.896,528.4,543
17_large,542.823,539.755,490.712,524.533,511.163,499.093,472.728,491.61,460.596,491.662,461.697,505.975,464.376,479.396,462.4,449.8
19_large,727.569,704.078,741.829,644.701,707.969,634.225,688.681,581.845,725.004,623.207,653.087,588.815,721.266,587.211,622,591
1_large,658.994,629.535,611.875,580.136,562.938,512.111,539.177,514.267,546.327,493.512,511.128,512.142,499.271,491.067,465,511
20_large,547.681,639.912,508.605,580.651,526.761,581.587,481.571,570.744,500.041,518.371,474.309,553.838,497.213,541.267,483,529.2
21_large,568.136,590.406,548.16,559.503,539.063,539.844,521.046,517.67,535.392,502.466,465.037,520.559,478.926,517.899,514,463.4
22_large,569.193,600.035,561.261,596.63,545.865,578.506,541.323,575.369,528.016,553.707,524.411,553.344,492.856,565.046,501.4,524
25_large,667.38,727.334,621.69,668.938,588.232,675.283,576.568,592.557,572.804,555.119,527.231,594.933,508.098,543.438,521,587.6
26_large,833.896,942.315,820.504,905.979,852.163,851.681,845.919,846.038,816.508,778.423,787.592,706.167,732.181,755.566,658.2,663.6
27_large,586.77,564.045,566.053,531.111,541.058,526.848,523.751,527.918,546.78,500.243,524.103,507.634,507.385,476.752,443.6,504.2
28_large,743.658,784.108,715.785,739.082,698.652,737.139,647.351,643.874,621.098,628.489,537.754,608.478,539.606,568.077,632.2,601.2
29_large,901.806,748.98,747.661,725.471,743.53,687.973,685.974,730.133,802.671,703.27,688.608,788.868,662.834,725.363,644.8,605.2
31_large,502.779,464.629,478.531,438.802,455.968,429.044,473.373,417.984,445.559,416.72,441.485,411.273,429.794,426.631,410.2,408.2
32_large,604.374,594.184,618,620.405,577.845,556.014,534.348,536.701,542.278,537.047,550.541,496.554,526.957,514.61,506.8,499.6
33_large,575.028,621.61,559.907,635.067,550.021,611.115,524.475,596.469,523.926,565.637,531.793,578.038,536.4,595.709,451.2,503.2
34_large,544.204,583.307,541.529,568.863,555.493,545.653,524.048,582.572,542.365,557.563,523.948,501.205,508.522,559.199,481.4,504.4
35_large,558.226,572.381,531.378,496.843,521.345,501.991,462.055,503.013,491.752,519.815,466.114,470.528,444.277,552.475,477.2,477.6
36_large,804.441,741.202,705.943,691.57,645.766,652.377,682.519,647.42,620.613,590.874,636.476,593.99,652.758,693.356,628,541.8
3_large,615.074,642.91,618.094,592.048,587.897,551.071,543.052,573.139,506.784,513.491,506.168,489.814,606.228,503.898,470.4,520.4
40_large,595.623,540.398,551.794,561.094,543.288,545.465,536.671,508.968,524.422,493.467,488.954,462.207,533.279,459.406,463.4,448.6
41_large,582.231,575.331,588.154,560.855,556.782,528.42,559.276,535.38,499.719,543.396,541.784,444.322,493.338,534.894,463.6,463
44_large,598.056,613.996,508.216,543.292,534.573,519.769,480.428,500.279,482.571,478.671,468.27,478.34,446.711,494.729,441.4,456.8
46_large,615.311,595.432,588.136,567.925,635.393,523.864,550.81,538.667,530.435,507.894,501.048,498.07,506.598,539.427,528.8,493.8
47_large,571.453,582.52,556.773,559.77,533.411,537.107,525.071,540.659,517.217,502.611,503.45,524.437,525.862,530.094,535.4,472.6
51_large,599.43,601.408,579.564,535.172,573.172,533.054,549.476,479.521,513.454,529.875,516.757,493.838,520.585,479.304,498.8,522.2
54_large,632.717,691.769,613.916,645.812,620.997,581.242,585.057,610.925,566.246,562.496,537.219,563.887,557.322,515.875,513,638.2
55_large,498.017,515.405,495.159,554.868,485.297,534.505,483.411,508.218,469.132,495.391,476.181,485.519,475.446,541.651,436.6,493.6
59_large,445.782,463.422,451.983,454.469,442.655,435.522,420.569,444.744,421.258,437.316,408.142,410.606,396.43,413.625,401.4,395.8
62_large,519.433,573.554,493.024,538.569,506.187,513.462,501.071,507.868,493.66,493.11,483.429,484.766,453.768,504.268,474.4,518.8
63_large,616.682,617.584,608.707,576.773,579.838,582.645,600.296,557.247,560.162,497.74,563.314,466.343,501.103,447.085,484.4,463.2
65_large,567.266,574.35,543.978,502.719,531.963,486.418,504.962,479.038,505.089,472.392,486.24,475.486,508.684,480.605,468,471
68_large,523.438,541.688,490.877,478.927,464.944,459.092,454.228,460.222,453.65,459.485,429.602,430.214,436.286,439.103,437,431.8
69_large,752.701,798.313,714.418,713.656,688.871,704.788,620.827,666.742,612.558,663.631,581.694,595.354,596.654,610.332,542.2,552.4
6_large,484.528,484.547,444.515,466.516,461.782,440.676,447.087,427.789,410.891,419.919,408.455,409.389,408.04,388.864,374.4,380
70_large,518.161,510.21,507.649,522.647,482.038,465.202,481.524,463.956,435.274,452.71,468.43,427.574,442.376,439.58,404.8,454.2
72_large,495.325,521.166,495.564,504.674,466.715,492.45,498.545,470.295,462.084,453.421,444.902,461.797,441.236,468.583,407.4,456
73_large,657.224,676.879,648.82,627.131,608.746,590.405,583.52,612.816,578.775,592.288,610.983,561.038,667.269,572.051,578.2,561.8
78_large,568.901,535.119,531.859,534.861,513.21,501.337,485.814,493.444,499.75,486.011,493.303,461.647,489.91,460.21,428.6,445
79_large,688.227,698.96,669.03,679.915,684.221,607.694,652.332,606.965,640.322,604.486,600.956,576.148,629.745,640.319,684.4,617.8
81_large,589.66,576.657,541.373,561.229,514.27,569.661,508.29,552.068,514.292,504.122,496.916,531.564,518.351,514.497,478.5,519.8
83_large,584.054,663.145,550.07,517.001,497.047,511.653,538.759,490.117,460.333,538.438,473.681,503.963,422.531,455.012,442,432.5
85_large,552.913,554.223,521.575,513.372,496.618,488.301,460.76,488.028,476.815,475.792,444.847,447.89,467.3,445.2,421.4,433.8
92_large,711.645,780.773,679.965,680.897,579.75,638.621,584.41,604.282,595.518,542.617,525.626,549.623,475.703,503.282,508.4,498.6
93_large,520.722,508.685,525.588,491.006,486.472,464.98,478.297,487.176,464.004,452.628,471.603,445.756,475.52,439.443,441.8,442.6
94_large,511.074,558.618,481.748,474.399,454.337,489.663,457.128,483.318,447.017,457.478,453.694,447.696,405.023,438.673,445.8,416.8
96_large,699.031,659.586,648.385,626.847,626.588,634.531,631.645,602.613,617.946,594.745,559.226,622.598,601.341,598.541,608.6,592.2
97_large,586.776,597,553.946,572.21,554.567,562.574,532.142,547.143,526.762,541.878,479.914,509.336,509.693,523.072,464.2,506.4
99_large,533.88,541.104,505.73,513.802,506.021,503.608,503.308,468.025,487.4,479.487,473.403,473.709,460.522,460.621,506.2,445
9_large,668.517,624.163,678.716,591.836,597.812,576.308,584.415,594.069,577.713,583.104,593.826,551.873,544.491,599.077,580.8,552.4